State,Month and Year,Sr. No.,Sector Name,Line Ministry,Implementing Agency,Project Code,Project Name,Original Cost (in cr.),Revised Cost (in cr.),Expenditure (in cr.),Physical Progress (in %),Original Date of Commissioning,Revised Date of Commissioning,Sanction Date,Cost Overrun (in cr.),Cost Overrun (%),Project Status,Delay (in months),Project_UID,Planned_Duration_Months,Current_Slippage_Months,Sanction_Date_Missing,Revised_Date_Missing
Andhrapradesh,01-04-2026,1,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airports Authority of India,701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,347,347,170.79,90,13-08-2025,30-06-2026,30-12-2022,0,0,In Progress,10.5,Andhrapradesh_701121,31.43889619,10.54533509,0,0
Andhrapradesh,01-04-2026,2,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airports Authority of India,612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",266,266,129.07,65,27-01-2026,15-07-2026,10-03-2023,0,0,In Progress,5.6,Andhrapradesh_612786,34.62549277,5.551905388,0,0
Andhrapradesh,01-04-2026,3,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airports Authority of India,701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,612,611.8,523.14,87,04-09-2022,31-10-2026,17-06-2020,-0.2,-0.032679739,In Progress,49.9,Andhrapradesh_701107,26.57687254,49.86859396,0,0
Andhrapradesh,01-04-2026,4,Education,Department of Higher Education,Central Tribal University of Andhra Pradesh,613008,Construction of Permanent Campus of Central Tribal University of Andhra Pradesh Phase-1,305,305,64.25,44,26-06-2027,26-06-2027,18-09-2019,0,0,In Progress,0,Andhrapradesh_613008,93.2325887,0,0,0
Andhrapradesh,01-04-2026,5,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,701343,Srikakulam Angul Gas Pipeline Project,2658,2810,2315.2,98,22-07-2022,30-06-2026,12-09-2019,152,5.718585403,In Progress,47.3,Andhrapradesh_701343,34.29697766,47.27332457,0,0
Andhrapradesh,01-04-2026,6,Healthcare,Ministry of Labour and Employment,Employees' State Insurance Corporation,612167,"Construction of 350 beds + 50 Super Specialty beds ESIC Hospital Sheelanagar, Visakhapatnam, Andhra Pradesh",384,384,253.37,88,09-10-2025,31-03-2026,22-02-2021,0,0,In Progress,5.7,Andhrapradesh_612167,55.51905388,5.683311432,0,0
Andhrapradesh,01-04-2026,7,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,709752,HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery,160,220,135.52,92,30-06-2024,28-02-2027,23-09-2021,60,37.5,In Progress,32,Andhrapradesh_709752,33.21287779,31.96452037,0,0
Andhrapradesh,01-04-2026,8,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited,400120,KG-DWN-98/2 Cluster - II Development Project - NELP Block,34012,34012,33006.7,96,30-06-2020,30-09-2026,28-03-2016,0,0,In Progress,75,Andhrapradesh_400120,51.08409987,75,0,0
Andhrapradesh,01-04-2026,9,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,619226,Provision of four bitumen tanks with capacity of 5 TMT each at Visakh Refinery,258,258.34,1.65,10,24-03-2028,24-03-2028,24-09-2025,0.34,0.131782946,In Progress,0,Andhrapradesh_619226,29.96057819,0,0,0
Andhrapradesh,01-04-2026,10,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,616254,Visakh Raipur Pipeline Project,2212,2212,498.11,34,10-09-2027,10-09-2027,11-09-2024,0,0,In Progress,0,Andhrapradesh_616254,35.93955322,0,0,0
